Year,Année,ISO,Jurisdiction,Juridiction,Fire size class,"Classe de superficie à l'extinction",Area (hectares),Data Qualifier,Superficie (en hectare),Qualificatifs de données
1991,1991,ON,Ontario,Ontario,100.1 - 1 000 ha,"100,1 - 1 000 ha",13294,a,13294,a
1991,1991,ON,Ontario,Ontario,1000.1 - 10 000 ha,1000.1 - 10 000 ha,94982,a,94982,a
1991,1991,PE,Prince Edward Island,Île-du-Prince-Édouard,0.11 - 1.0 ha,"0,11 - 1 ha",5,a,5,a
1991,1991,PE,Prince Edward Island,Île-du-Prince-Édouard,1000.1 - 10 000 ha,"1 000,1 - 10 000 ha",0,a,0,a
1991,1991,PE,Prince Edward Island,Île-du-Prince-Édouard,1.1 - 10 ha,"1,1 - 10 ha",93,a,93,a
1991,1991,PE,Prince Edward Island,Île-du-Prince-Édouard,10 000.1 - 100 000 ha,"10 000,1 - 100 000 ha",0,a,0,a
1991,1991,PE,Prince Edward Island,Île-du-Prince-Édouard,10.1 - 100 ha,"10,1 - 100 ha",20,a,20,a
1991,1991,PE,Prince Edward Island,Île-du-Prince-Édouard,100.1 - 1 000 ha,"100,1 - 1 000 ha",0,a,0,a
1991,1991,PE,Prince Edward Island,Île-du-Prince-Édouard,Over 100 000 ha,Plus de 100 000 ha,0,a,0,a
1991,1991,PE,Prince Edward Island,Île-du-Prince-Édouard,Up to 0.1 ha,"Jusqu'à 0,1 ha",1,a,1,a
1991,1991,QC,Quebec,Québec,0.11 - 1.0 ha,"0,11 - 1 ha",132.8,a,132.8,a
1991,1991,QC,Quebec,Québec,1.1 - 10 ha,"1,1 - 10 ha",554.9,a,554.9,a
1991,1991,QC,Quebec,Québec,10 000.1 - 100 000 ha,"10 000,1 - 100 000 ha",225050,a,225050,a
1991,1991,QC,Quebec,Québec,10.1 - 100 ha,"10,1 - 100 ha",1401.7,a,1401.7,a
1991,1991,QC,Quebec,Québec,100.1 - 1 000 ha,"100,1 - 1 000 ha",7549,a,7549,a
1991,1991,QC,Quebec,Québec,1000.1 - 10 000 ha,1000.1 - 10 000 ha,52627,a,52627,a
1991,1991,QC,Quebec,Québec,Over 100 000 ha,Plus de 100 000 ha,151000,a,151000,a
1991,1991,QC,Quebec,Québec,Up to 0.1 ha,"Jusqu'à 0,1 ha",16,a,16,a
1991,1991,SK,Saskatchewan,Saskatchewan,0.11 - 1.0 ha,"0,11 - 1 ha",110.45,a,110.45,a
1991,1991,SK,Saskatchewan,Saskatchewan,1.1 - 10 ha,"1,1 - 10 ha",459.22,a,459.22,a
1991,1991,SK,Saskatchewan,Saskatchewan,10 000.1 - 100 000 ha,"10 000,1 - 100 000 ha",133317.1,a,133317.1,a
1991,1991,SK,Saskatchewan,Saskatchewan,10.1 - 100 ha,"10,1 - 100 ha",1931.99,a,1931.99,a
1991,1991,SK,Saskatchewan,Saskatchewan,100.1 - 1 000 ha,"100,1 - 1 000 ha",8201.41,a,8201.41,a
1991,1991,SK,Saskatchewan,Saskatchewan,1000.1 - 10 000 ha,1000.1 - 10 000 ha,54142.18,a,54142.18,a
1991,1991,SK,Saskatchewan,Saskatchewan,Up to 0.1 ha,"Jusqu'à 0,1 ha",12.7599999999999,a,12.7599999999999,a
1991,1991,YT,Yukon,Yukon,0.11 - 1.0 ha,"0,11 - 1 ha",21.15,a,21.15,a
1991,1991,YT,Yukon,Yukon,1.1 - 10 ha,"1,1 - 10 ha",124.2,a,124.2,a
